,,,Batting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitching,,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,AVG,OBP,OPS,SLG,H,1B,2B,3B,HR,RBI,R,BB,SO,K-L,HBP,SAC,SF,ROE,FC,SB,SB%,CS,PIK,QAB,QAB%,PA/BB,BB/K,C%,HHB,LD%,FB%,GB%,BABIP,BA/RISP,LOB,2OUTRBI,XBH,TB,PS,PS/PA,2S+3,2S+3%,6+,6+%,AB/HR,GIDP,GITP,CI,IP,GP,GS,BF,#P,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO
44,Muñoz,Stephen,3,7,6,0,0.143,0.143,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,4,100,0,0,2,28.57,7,0,100,1,16.67,0,83.33,0,0,5,0,0,0,14,2,0,0,1,14.29,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,,Caleb,26,53,40,0.3,0.472,0.772,0.3,12,12,0,0,0,6,15,11,9,2,2,0,0,2,2,17,94.44,1,0,20,37.74,4.8,1.222,77.5,4,12.5,34.38,50,0.387,0.278,27,2,0,12,200,3.774,7,13.21,9,16.98,-,0,0,0,6.2,5,0,38,141,0,0,0,0,0,-,10,12,9,7,3
88,Briley,Hunter,32,81,66,0.485,0.575,1.317,0.742,32,17,14,0,1,37,20,11,7,3,3,0,0,2,2,12,100,0,0,36,44.44,7.4,1.571,89.39,18,23.73,40.68,35.59,0.534,0.532,29,12,15,49,259,3.198,4,4.94,6,7.41,66,1,0,1,18.2,8,4,92,357,0,0,0,0,0,-,12,16,7,24,17
99,Soto,Bruno,35,86,56,0.375,0.593,1.147,0.554,21,11,10,0,0,23,13,23,12,1,7,0,0,1,2,8,100,0,0,45,52.33,3.7,1.917,78.57,9,15.91,47.73,36.36,0.477,0.395,36,9,10,31,322,3.744,10,11.63,17,19.77,-,0,0,0,17.2,9,7,112,428,0,0,0,0,0,-,22,35,20,32,21
99,,JJ,2,2,2,0.5,0.5,1,0.5,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,2,100,0,0,0,0,-,0,50,0,0,0,100,1,1,0,1,0,1,6,3,0,0,0,0,-,0,0,0,2.1,1,1,18,80,0,0,0,0,0,-,3,7,5,6,4
,,Emmett,3,6,3,0.333,0.667,1,0.333,1,1,0,0,0,0,2,2,1,1,1,0,0,0,1,1,100,0,0,4,66.67,3,2,66.67,0,0,0,100,0.5,0,2,0,0,1,23,3.833,2,33.33,1,16.67,-,1,0,0,1.1,2,0,7,31,0,0,0,0,0,-,2,3,3,1,2
,,Isidro,3,5,5,0.2,0.2,0.6,0.4,1,0,1,0,0,3,3,0,0,0,0,0,0,1,0,1,100,0,0,2,40,-,0,100,1,20,0,80,0.2,0.25,6,2,1,2,13,2.6,1,20,1,20,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Totals,,,38,954,722,0.357,0.513,1.002,0.489,258,177,71,6,4,239,305,201,145,67,30,0,0,40,20,247,96.48,9,2,452,47.38,4.7,1.386,79.92,132,18.02,32.24,49.22,0.443,0.352,182,74,81,353,3426,3.591,87,9.12,153,16.04,180.5,2,0,1,150.2,38,38,912,3208,0,0,0,0,0,-,218,289,176,197,129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glossary,,,GP=Games played,PA=Plate appearances,AB=At bats,AVG=Batting average,OBP=On-base percentage,OPS=On-base percentage plus slugging percentage,SLG=Slugging percentage,H=Hits,1B=Singles,2B=Doubles,3B=Triples,HR=Home runs,RBI=Runs batted in,R=Runs scored,BB=Base on balls (walks),SO=Strikeouts,K-L=Strikeouts looking,HBP=Hit by pitch,SAC=Sacrifice hits & bunts,SF=Sacrifice flies,ROE=Reached on error,FC=Hit into fielder's choice,SB=Stolen bases,SB%=Stolen base percentage,CS=Caught stealing,PIK=Picked off,"QAB=Quality at bats (any one of: 3 pitches after 2 strikes, 6+ pitch ABs, XBH, HHB, BB, SAC Bunt, SAC Fly)",QAB%=Quality at bats per plate appearance,PA/BB=Plate appearances per walk,BB/K=Walks per strikeout,C%=Contact percentage/Contact rate: AB-K/AB,HHB=Hard hit balls: Total line drives and hard ground balls,LD%=Line drive percentage,FB%=Fly ball percentage,GB%=Ground ball percentage,BABIP=Batting average on balls in play,BA/RISP=Batting average with runners in scoring position,LOB=Runners left on base,2OUTRBI=2-out RBI,XBH=Extra-base hits,TB=Total bases,PS=Pitches seen,PS/PA=Pitches seen per plate appearance,2S+3=Plate appearances in which batter sees 3+ pitches after 2 strikes,2S+3%=% of plate appearances in which batter sees 3+ pitches after 2 strikes,6+=Plate appearances with 6+ pitches,6+%=% of plate appearances of 6+ pitches,AB/HR=At bats per home run,GIDP=Hit into double play,GITP=Hit into triple play,CI=Batter advances on catcher's interference,IP=Innings pitched,,GS=Games started,BF=Total batters faced,#P=Total pitches,W=Wins,L=Losses,SV=Saves,SVO=Save opportunities,BS=Blown saves,SV%=Save percentage,H=Hits allowed,R=Runs allowed,ER=Earned runs allowed,BB=Base on balls (walks),SO=Strikeouts
